번호,제목,평점,관람 등급,장르,감독,출연진,줄거리,processed_text,키워드
130972,에브리바디 원츠 썸!!,7.38,청소년 관람불가,['코미디'],리처드 링클레이터,"['블레이크 제너', '조이 도이치', '글렌 포웰', '라이언 구즈먼', '테일러 후츨린']","고등학교를 졸업하고 야구부 숙소로 이사를 온 킹카 신입생 ‘제이크’. 전국 최고의 야구팀으로 구성된 룸메이트들과 인사를 마치고어색함을 느낄 새도 없이 길거리에 넘쳐 흐르는 쭉빵 걸들 작업으로 눈코 뜰 새 없다.코치가 단단히 이른 1. 주류 반입 금지 2. 숙소에 여자를 들이지 않는다는 규칙이 무색하게입에는 언제나 맥주, 여자 얘기 98% 야구 얘기 2%의 수다와 함께매일 밤 신나는 파티를 벌이는데…개강 전까지 3일 15시간! 미친듯이 즐겨볼까?",졸업 야구 이사 신입생 전국 최고 야구 구성 룸메이트 인사 마치 쭉빵 작업 눈코 주류 반입 금지 숙소 여자 규칙 무색 맥주 여자 얘기 야구 얘기 수다 매일 파티 개강,"수다, 여자, 반입, 무색, 숙소, 눈코, 쭉빵, 개강, 얘기, 야구"
145147,에스트라파드 거리,0.0,15세 관람가,"['코미디', '드라마']",자크 베케르,"['다니엘 겔린', '루이 주르당', '안네 베르농']","프랑수아즈는 친구 드니스와 함께 고급 부티크를 돌아다닌다. 그런데 프랑수아즈는 사랑하는 남편 앙리에게 애인이 있다는 것을 알게 된다. 화가 난 프랑수아즈는 집을 나와 보헤미안 예술가들이 모여 사는 에스트라파드 거리에 방을 구한다. 앙리는 아내를 되찾고 싶어 하지만, 프랑수아즈는 더 이상 남편을 믿지 못하고, 더구나 그녀는 가난한 음악가에게 마음이 흔들린다. <앙투안과 아투아네트> <에두아르와 카롤린>에 이어 파리의 젊은 커플들의 이야기를 다룬 세 번째 작품이다.",친구 고급 부티크 사랑 남편 애인 화가 보헤미안 예술가 구한 아내 이상 남편 더구나 음악가 마음 안과 네트 에두 아르 카롤린 커플 이야기 작품,"고급, 음악가, 보헤미안, 남편, 안과, 네트, 에두, 아르, 카롤린, 더구나"
140768,에스파트너,7.33,청소년 관람불가,"['멜로/로맨스', '코미디']",황백기,"['유심유', '주백호', '장사민', '강호문']","젊은 부부이지만 결혼한지 1년이 지나도 아이가 생기지 않아불안해 하는 아내와, 이같은 이유 때문에 밤생활의 문제까지 생긴 남편.일중독인 연애 기획사 부인을 둔 노년의 남편이 그녀와의생활 불만으로 다른 여성과 연애를 하는 삶.이 두 부부들의 이야기를 자연스럽게 풀어낸 이야기.",부부 결혼 한지 아이 생기지 이유 생활 문제 일중독 생활 불만 다른 연애 부부 이야기 자연 이야기,"이유, 문제, 연애, 자연, 불만, 이야기, 한지, 생기지, 생활, 부부"
127424,에이지 오브 투모로우,3.65,15세 관람가,"['액션', 'SF', '스릴러']",제임스 콘델릭,"['켈리 후', '안소니 마크스']",지구와 충돌 궤도에 있는 행성을 폭파시키기 위해 최정예 조종사들과 물리학 박사가 우주선을 타고 날아간다. 행성에서 폭탄 설치 작업을 하던 중 외계인의 세상으로 통하는 순간 이동 장치를 발견하게 되고 외계인들의 지구 침공 계략도 알게 된다. 인간을 잡아가 그들 여왕의 먹이로 삼는 끔찍한 광경을 목격하자 대원들은 최대한 많은 인질들을 구해 행성을 탈출할 계획을 세운다. 한편 지구에선 외계 우주선의 공습이 시작되고 세상은 점점 불바다로 변해간다. 아름다운 지구를 지키기 위해 평범했던 인간들이 영웅적인 용기를 발휘해 외계인에 맞서는데...,충돌 궤도 폭파 위해 정예 조종사 우주선 타고 폭탄 설치 작업 외계인 세상 순간 이동 장치 발견 외계인 침공 계략 인간 먹이 광경 목격 대원 최대한 인질 구해 탈출 계획 외계 우주선 공습 시작 세상 점점 바다로 간다 위해 영웅 용기 발휘 외계인,"조종사, 폭파, 광경, 장치, 바다로, 공습, 궤도, 최대한, 우주선, 외계인"
152128,에이컵 친구 아내-남편 오기 전에,0.0,청소년 관람불가,['에로'],카츠라기 히로후미,"['요시다 하나', '미치코 세레나데']","잠자리를 피하는 남편 마사키, 알고 보니 바람을 피우고 있었다. 우연히 마주친 남편의 친구 이마이가 아내인 사토미에게 관심을 보이게 되고, 강제로 하룻밤을 보낸다. 이 사실을 안 남편은 아내의 소중함을 깨닫고 주위의 여자를 정리하지만…",잠자리 피하 바람 친구 아내 관심 보이 강제 하룻밤 사실 주위 여자 정리,"아내, 관심, 하룻밤, 바람, 보이, 강제, 잠자리, 정리, 주위, 피하"
154316,에조: 인류 최후의 전쟁,5.67,청소년 관람불가,"['액션', 'SF']",스벤 크누펠,['짐 워커'],"지구 종말 이후, 마지막 남은 인류는면역 도시에서 카마쿠라 신을 믿으며 살아간다.하지만 생존을 위협하는 자이언트 몬스터와 좀비 군단 칼리반에게 쫓기게 되고…인류가 살아남는 법은 단 한 가지, 맞서 싸우는 것뿐!",종말 이후 마지막 인류 면역 도시 카마쿠라 생존 위협 자이언트 몬스터 좀비 군단 칼리 가지,"도시, 인류, 생존, 좀비, 종말, 몬스터, 군단, 면역, 칼리, 카마쿠라"
152588,엑소시즘:로스트테이프 ,6.0,청소년 관람불가,['공포'],폴 카타라노토,"['리사 맥켈 스미스', '샘 코빈', '도노반 젝슨']","도끼로 연쇄 살인을 한 17세 소년 제시 가 사형선고를 받게 된다. 그의 어머니 케이트 는 아들은 악령이 씌어서 살인을 했다며 아들의 무죄를 주장한다. 이를 증명하기 위해 TV 다큐멘터리 팀과 정신과 의사팀을 초대한다. 케이트 는 악령을 소환하는 주문을 통해 자기몸속에 들어가게 하고, 주변사람들을 죽이기 시작한다. 목사를 불러 악령을 없애려 하지만..오히려 목사를 죽이게 된다.이 모든과정 들이 녹화가 되고 있는데..",도끼 연쇄 살인 소년 사형선고 어머니 아들 악령 씌어 살인 아들 무죄 주장 증명 위해 초대 악령 소환 주문 통해 자기 몸속 주변 사람 시작 악령 과정 녹화,"무죄, 주문, 증명, 녹화, 사형선고, 아들, 씌어, 도끼, 살인, 악령"
119430,엑스맨: 아포칼립스,8.2,12세 관람가,"['액션', '모험', '판타지', 'SF']",브라이언 싱어,"['제임스 맥어보이', '마이클 패스벤더', '제니퍼 로렌스', '오스카 아이삭', '니콜라스 홀트']","“강한 자만이 살아남을 것이다” 아포칼립스고대부터 신으로 숭배 받아왔던 최초의 돌연변이 아포칼립스가수천 년간 무덤에 잠들어 있다가 1983년 이집트에서 깨어난다.타락한 문명에 분노한 아포칼립스는 절망에 잠긴 매그니토를 비롯하여,스톰, 사일록, 아크엔젤에게 보다 강력한 힘을 주며 자신의 수하 ‘포 호스맨’으로 삼는다.그리고 인류를 멸망시키고 새로운 세상을 건설하여 강한 자들만의 세상을 만들려고 한다.   “지켜야 한다” 엑스맨 한편, 프로페서 X는 어린 돌연변이들을 위한 영재학교를 설립해인간과의 평화로운 공존과 희망을 찾을 수 있도록 가르친다.아직은 스스로 능력을 통제하지 못하는 진 그레이를 통해아포칼립스가 초래한 인류의 멸망을 예견하게 된 프로페서 X는 미스틱과 함께 젊은 돌연변이들로 이뤄진 엑스맨을 결성한다.아포칼립스를 막기 위해 사상 최대의 전쟁에 나서게 된 그들.도저히 막을 수 없는 적과 싸워야만 하는데… 인류의 운명을 건 마지막 전쟁! 당신의 엑스맨은 지금부터 시작이다!",자만 숭배 최초 돌연변이 무덤 문명 절망 비롯 자신 수하 호스 인류 멸망 세상 건설 세상 엑스맨 돌연변이 설립 인간 공존 희망 스스로 능력 통제 통해 아포칼립스 초래 인류 멸망 예견 돌연변이 엑스맨 결성 위해 사상 최대 전쟁 도저히 인류 운명 마지막 전쟁 당신 지금 시작,"수하, 초래, 전쟁, 예견, 아포칼립스, 호스, 멸망, 인류, 엑스맨, 돌연변이"
155506,엔트의 숲,5.67,청소년 관람불가,"['공포', '판타지', '미스터리', '스릴러']",리빙스톤 오딘,['알만 하비보치'],"주인공 제임스 에릭슨은 평생 자신을 한 번도 가까이하지 않은 어머니의 죽음 앞에 심란하기만 하다.유일한 혈육인 그는 어머니의 유품 등 뒷정리를 하러 어머니의 고향으로 떠난다.그녀가 남긴 물건은 마을 창고에 보관 중인 상자 하나뿐이다.제임스는 허탈함과 의문으로 가득한 마음으로 상자를 열어보는데, 안에는 온통 에릭슨 家 사유지 안에서 일어난 사건 사고에 관한 단서뿐이다.읽으면 읽을수록 해결되지 않은 사건의 미궁 속으로 빠지고 의문점만 불어나는데...자신을 버렸다고 생각한 엄마가 사실은 알 수 없는 미지의 존재로부터 아들을 지키려고 했던 것임을 알게 된다.400년 묵은 원주민과 그녀의 남편이자 숲의 괴물을 상대로 길고 긴 세월 동안 저주받았다는 평을 들어야만 했던 에릭슨 家 사유지의 오명을 씻고자 하는 제임스.어머니의 유품이 바로 자신이 유일하게 그 괴물을 없앨 수 있는 존재라고 믿고 이 오랜 저주를 끝내 버리지만, 그건 새로운 저주의 시작이란 걸 그는 알지 못한다.",주인공 평생 자신 가까이 죽음 혈육 유품 뒷정리 물건 보관 중인 상자 하나 제임스 의문 마음 상자 온통 사건 사고 단서 해결 사건 미궁 의문 자신 생각 사실 미지 존재 로부터 것임 원주민 남편 이자 괴물 상대로 세월 동안 오명 제임스 유품 바로 자신 괴물 존재 저주 끝내 저주 시작,"혈육, 오명, 존재, 뒷정리, 의문, 괴물, 저주, 상자, 유품, 제임스"
148468,엔티티: 죽음의 웹사이트,3.92,청소년 관람불가,"['공포', '미스터리']",에두와르도 슐츠,"['로드리고 팔라', '다니엘라 멘도자']","“백 개가 넘는 동영상에 똑같은 실체가 나타났다”“이 동영상들은 전세계에서 암암리에 가장 무서운 전설이 되었다”영상 수업 과제를 위해 모인 4명의 친구들은무서운 영상을 보고 놀라는 모습을 담은 ‘리액션 비디오’를 찍기로 한다.그러던 어느 날, 자료조사를 하던 중 한 인터넷 웹사이트에서사람들이 의문사를 당하는 동영상을 발견하게 되고,그 영상의 비밀을 파헤치는 동안,4명의 친구들에게 무서운 일들이 벌어지기 시작하는데…!",동영상 실체 동영상 전세계 암암리 가장 전설 영상 수업 과제 위해 명의 친구 영상 보고 리액션 비디오 찍기 자료 조사 의문사 동영상 발견 영상 비밀 동안 명의 시작,"전세계, 수업, 비디오, 자료, 찍기, 과제, 의문사, 명의, 영상, 동영상"
